Orador,Texto
Biblioteca Congreso Nacional, biblioteca y me he integrado al trabajo de la secretaria técnica dentro de eso como primera labor dentro de esto y como tal señalaba la presente presidenta se me ha encomendado el trabajo de un cronograma general para la convención constitucional este ya tenía algunas iteraciones con la mesa con la mesa amplia con la mesa y los coordinadores el día martes pasado y se la han ido haciendo una serie de modificaciones el programa trata de ser lo razonable y también de cumplir con los principios que el propio reglamento general que establece para el trabajo de la convención en eso dentro de la razonabilidad una de las primeras cosas que contiene la propuesta es que se considera todo el plazo de funcionamiento de la convención constitucional es decir el plazo ordinario que vence el 4 de abril y también el plazo extraordinario que comienza a regir desde el 5 de abril de 2022 hasta el 5 de julio de 2022 que es este que contempla artículo 137 de la constitución vigente perdón ciones no es sólo para informar a las y los convencionales que en su pupitre digital está publicado el cronograma para que pueden ir siguiendo con mayor facilidad la explicación que está dando tres nubes gracias gracias a secretarios eso eso como primera consideración esto porque el plazo para contar del próximo lunes hasta el 5 de julio son aproximadamente 36 semanas 36 semanas en que hay que distribuir el trabajo de las comisiones el trabajo de los plenos el trabajo que cada uno de ustedes como convencionales realizan con sus equipos de trabajo con sus grupos cómo están organizados dentro de la convención y también la salida de terreno las audiencias la participación popular la participación indígena y todos esos elementos se ha elaborado esta propuesta de esta forma también considera eventualmente y esto es solamente como la eventualidad pero no lo podíamos dejar fuera de un cronograma en que se realizará un plebiscito de green ente eso no es facultad de la convención lo tenemos muy claro como secretaria técnica sino que es facultad de una reforma constitucional que debe aprobar el congreso pero no podríamos hacer o hacer caso omiso de eso que estaba en el reglamento para la elaboración de estas propuestas de cronogramas la propuesta que ustedes tienen en sus pupitres y la que pueden ver que está calendarizado esto está pensado principalmente con sesiones ordinarias acá no estamos considerando sesiones extraordinarias ni de pleno ni de comisiones entendemos que pueden darse ésta y éstas van a tener que ser organizadas y obviamente van a tener que ser incorporadas dentro de la calendarización y en el momento que corresponda considera una primera etapa que es trabajo principalmente de comisiones y con plenos que hemos denominado deliberativo aún cuando no es el cuando el nombre puede ser conducir a error pero la idea es que cumplimos con eso con el mandato que por reglamento existe de que el hacer el pleno debe sesionar una vez a la semana esos plenos han sido dejados los días miércoles la tarde y se propone como mesa t como secretaría técnica que sean de alrededor de dos horas y media de funcionamiento para los distintos temas que se vayan viendo en esos plenos cec el trabajo este trabajo empieza a ver ya el trabajo en el pleno con votaciones a partir de la semana del 10 al 14 de enero bueno esto ya salió también en la noticia pero en esto se consideran es esta primera semana tres plenos de votaciones a los que habían visto las propuestas anteriores nosotros habíamos estructurado los plenos de votaciones organizados por comisión en cambio en esta en esta versión en esta última versión que la que estamos presentando a ustedes solamente se consideran como pleno de votaciones porque porque entendemos que también el trabajo de las comisiones no va a ser al mismo ritmo en todas dado el número de audiencia que tenga en el número de iniciativa la cantidad de temas que corresponde a cada comisión e incluso también el número de integrantes de cada una de ellas que es distinto y por lo tanto solamente vamos considerando los plenos de votaciones y así llegamos a un total de 12 plenos de votaciones que podríamos decir ordinarios que finalizaría la semana del 28 al 21 de abril y a partir de eso ya viene un último pleno de votación que sería para aquellas normas rezagadas y que no hayan alcanzado los dos tercios que sería la semana del 18 al 22 de abril la prórroga del plazo de trabajo de la convención tiene que estar efectuada entre el 20 y el 29 de marzo por lo tanto nosotros en esas fechas se tiene que solicitar esta prórroga la forma que opera es que o bien lo propone en la mesa o bien lo solicita en un número un número de convencionales y lo que debe ocurrir es que se debe convocar a una sesión de pleno en la cual el presidente de la convención debe dar cuenta del trabajo que se ha realizado hasta ese momento cuál es el grado de avance del trabajo de la convención cuántos artículos se han aprobado cuántas sesiones han hecho etcétera etcétera una especie de una cuenta finalmente y cumplido con este requisito que tiene que ser antes del vencimiento del plazo es decir incluso podría ser el mismo 4 de abril se entiende prorrogado el plazo de funcionamiento de la convención nueva el artículo 137 de la constitución no establece la necesidad de que esto se vote sino que solamente cumplir con estas dos formales formalidades que se ha solicitado dentro del plazo y que se dé cuenta del trabajo y de ahí ya aparte el trabajo en este periodo que podemos denominar extraordinario o mejor dicho complementario al periodo anterior luego él durante advertir se termina con el pleno con los plenos de votaciones se establece para la última semana abrir en un pleno deliberativo en el cual además la mesa de la convención entrega el proyecto de constitución y con eso comienza el trabajo de la comisión de armonización para lo cual se ha considerado un té con un plazo de tres semanas en que la comisión de armonización ordene los artículos aprobados si existe alguna inconsistencia entre los artículos aprobados puede realizar su informe y también puede realizar sus propuestas al pleno para disparar solucionar aquellos problemas que ellos detectan terminado esto comienza el trabajo ya de entrega este informe de comunicación de este informe a todos los convencionales para que presenten indicaciones a aquello que ha sido aquella que son las propuestas de esta comisión de armonización y considerando en un período de votaciones de esas indicaciones de las propuestas y de sus indicaciones para la semana del 20 al 24 de junio si bien el plazo como he señalado ya varias veces termina el 5 de julio se considera también una en realidad son seis días hábiles de margen para el trabajo de la convención y consideramos este plazo porque responsablemente no podemos proponer un cronograma como secretaría técnica que considera hasta el último día de trabajo sino que tenemos que dejar un espacio de tiempo que permita la convención que permita también a las comisiones tanto al pleno como las comisiones poder tener algún margen no podemos no se podía hacer un cronograma sin margen de la misma forma que razonablemente no se podía hacer un cronograma considerando hasta el 4 de abril esa es la propuesta de cronograma se trata acá también de que la participación popular se dé en un tiempo y que ella considere los requisitos y las características con que se ha elaborado en el reglamento correspondiente está considerada principalmente en el primer periodo de trabajo sin perjuicio de que pero en este periodo el periodo principalmente lo que se refiere a iniciativas populares sin perjuicio de que las audiencias de personas o de grupos se dé durante todo el trabajo de la convención adicionalmente se ha considerado no solamente algo que ya está algo que ya estaba que era la que la convención funcione en la región del bío bío sino que además se ha considerado la posibilidad de que la convención funcione en otros territorios del país por dos oportunidades más e incluso en uno de ellos estaba pensado que se realicen votaciones que es en la semana del 28 de febrero al 4 de marzo que se podrían realizar votaciones también durante esa salida regional eso es por mi parte presidenta convencionales esa es la propuesta de el cronograma de la secretaría técnica muchas gracias muchas gracias rodrigo por por tu trabajo y esta presentación vamos entonces a abrir el debate en primer término tiene el uso de la palabra en la sala 4 la conversión al catering montealegre muchas gracias señor secretario y triquiñuelas en esta convención constitucional claro que sí hemos denunciado muchos de ellas y nunca he escuchado de la convencional politzer alzar la voz hoy lo hace para negar el derecho legítimo de reagruparse para hacer uso de la palabra y déjeme decirle que eso habla más de usted que de nosotros hay triquiñuelas y trampas sí y la propuesta de cronograma general del trabajo de la convención constitucional informada ayer es un ejemplo más al infringir el artículo 137 de nuestra carta fundamental primeramente porque es una facultad y no una obligación la solicitud de prórroga que siendo de competencia exclusiva de la presidencia y del tercio de los miembros de la convención al ser considerada desde ya dentro del cronograma de trabajo termina siendo vulnerada en segundo orden porque el plazo máximo para la redacción de la propuesta de nuestra constitución es de nueve meses y la prórroga sólo puede ser solicitada quince días antes del vencimiento del plazo el espíritu del precepto es claro se deben hacer todos
Biblioteca Congreso Nacional, muchas gracias a todas y todos por sus comentarios observaciones que han hecho al cronograma solamente recordar de que no ha salido obra perfecta como tal como de la creación del hombre como tal como dijo alguna vez andrés de ellos así que en realidad yo no esperaba que esto fuera perfecto y que me aplaudiera esto es trabajo y en realidad lo tomo como este no lo tomo es una cuestión personal y aclarar ciertas dudas efectivamente esto y la propuesta lo señala la propuesta de cronograma lo señala esto requiere una modificación reglamentaria en cuanto a los plazos y en particular el plazo de recepción de iniciativas populares porque porque el reglamento establece que todos los plazos son de días hábiles y señala que excepcionalmente puedan haber plazos de días corridos un revisar el cronograma y no hay ningún plazo de diez corridos son todo de día hábiles por lo tanto en esto como secretaria técnica lo que proponemos es hacer esta modificación y que sean días corridos para este solo efecto esa es la modificación reglamentaria que hay que hacer en cuanto a la evaluación del cronograma hay aquí hay que tener dos cosas obviamente esto tiene que ser evaluado esto no y yo lo dije en una de las primeras sesiones cuando presentamos esto no está nuevo un cronograma presentado en piedra y que está escrito en piedra y que vaya a quedar así sino que esto tiene que ser evaluado y para eso el propio reglamento considera un mecanismo que es la secretaría técnica la que debe ir informando acerca del avance del cronograma de su grado de cumplimiento y también ir proponiendo las modificaciones que sean necesarias este cronograma o sea esto es permanente vamos a partir con este cronograma pero quizás cuando se hace que se llega a aprobar o con el que se aprovechó a partir con él pero vamos a llegar un momento aunque ya no va a ser el mismo cronograma que vamos a tener que haber hecho ajuste lo cual también reconocimos nosotros en el mismo en la misma propuesta al dejar estos días extras de estos días sin actividades para poder hacer eso ajuste en la medida de que ello sea necesario obviamente esto no está pensado como un diagrama de proceso yo no soy ingeniero soy abogado pero por lo tanto y con la gente que hemos trabajado principalmente abogados viendo lo que son los reglamentos por lo tanto no está pensado como un diagrama de proceso y hemos tenido siempre en vista la eficiencia la eficacia el cuidado de los recursos públicos la responsabilidad como secretaría técnica de presentar algo que sea real esto lo podemos ajustar y podemos hacer los ajustes que se requieran en el tiempo tal como señala mi director de la biblioteca del congreso esta es una carrera de 100 metros planos y ya llevamos como 30 metros planos corridos y por lo tanto que el tiempo siempre va a ser un problema y eso yo lo soy muy consciente es finalmente solamente decir qué es un cronograma con racionalidad vamos a recibir las propuestas que nos han hecho y las observaciones eventualmente
Biblioteca Congreso Nacional, vicepresidentes secretarios esta es la segunda versión de este cronograma que se presenta el pleno sin perjuicio de lo cual se ha seguido trabajando dentro de estos dos días esta semana y lo del fin de semana pasado y en ella se recogen algunas de las observaciones que se hicieron en la sesión de pleno pasada y también las propuestas y observaciones que los distintos colectivos hicieron llegar a la secretaría técnica para conformar este nuevo cronograma tal tal como la deducción anterior se presentó las propuestas de plenos generales corresponden a las sesiones ordinarias acá todo lo que está dentro del cronograma son sesiones ordinarias tanto de pleno como de comisiones obviamente existe la posibilidad que unos y otros citen o realicen citas extraordinarias para fines que ellos estimen pertinentes y también para fines de informe de votación a diferencia del cronograma anterior y en atención a la importancia que en la convención le da la participación ciudadana y establecer un periodo de participación ciudadana que lleve a que ésta sea en incidentes se han corrido los plenos de votación y su inicio pasando ahora esto va a comenzar en la semana del 7 al 11 de febrero además considerando el la necesidad de liberación y debate que se tiene que dar dentro del pleno se ha aumentado la cantidad de estos pasando ahora a tener veintiún pleno de deliberación qué son los días martes miércoles y jueves por la tarde pero que van a ser todas las semanas y además de eso se consideran siete plenos de votación en días viernes que son plenos que nosotros denominamos como eventuales porque está lo que está detrás de esta idea es que dentro de una semana se parten todos aquellos informes y propuestas normativas que se hayan presentado y que no se vaya acumulando trabajo esto sabemos que vamos a tener que verlo con el tiempo y vamos a ver cómo va evolucionando esto se considera además un vigésimo segundo pleno de votaciones para aquellas normas que no hayan conseguido conseguir una votación de dos tercios previamente y también se establece que sin perjuicio de la fecha de remisión de las iniciativas convencionales constituyentes de las comisiones éstas procuran iniciar su discusión y acá señaló y recalcó el procurarán e iniciar su discusión luego de la fecha de cierre de inscripción de iniciativas populares constituyentes que está fijada para el 6 de enero de 2022 para la viabilidad de esto está modificando se requiere esta modificación reglamentaria para establecer que el plazo para la presentación de iniciativas populares de la recepción por parte de la convención sea de 60 días corridos y no de 60 días hábiles manteniéndose esos 160 días hábiles para objeto de recibir las firmas que cada una de estas iniciativas requieren si vamos ya al cronograma a la visualización del cronograma que hemos presentado este sabido en tres etapas una primera que hemos denominado de instalación y participación popular que es la etapa en que nos encontramos ahora y que se tiene como segundo hito el inicio de la participación popular con la apertura del periodo de recepción de iniciativas el próximo lunes 8 de noviembre esta etapa tiene como segundo hito dentro de ella el que el 6 de enero se cierra las se cierra la inscripción de iniciativas populares esa es la fecha máxima en que las personas los ciudadanos los pueblos pueden presentar sus iniciativas populares constituyentes para recabar las firmas que el reglamento de participación establece además de ello dentro del cronograma se establece claramente las fechas de evaluación del mismo no se considera evaluación ni el primer ni el segundo mensaje no se consideran evaluaciones ni en noviembre ni ante siempre pero si se empieza a considerar una evaluación mensual a partir del mes de enero en la cual la secretaria técnica va a tener que informar a la mesa ya su vez al pleno del avance del cronograma y a partir de ello ver qué modificaciones son necesarias de realizar al mismo para ir haciéndolo los ajustes que se requieran además de ello se considera dentro de este cronograma a participación y consulta indígena que ya a partir de que no hiciera llegar desde la comisión respectiva como una propuesta y obviamente esto también está sujeto modificación y ajuste en la medida que sea necesario y cumpliendo con los requisitos también que el reglamento particular de esta materia señala el trabajo como las señaladas de votaciones en pleno comienza la semana del 7 al 11 de febrero y se consideran los tres primeros plano de votación y el primer pleno eventual de votaciones para normas que hayan quedado rezagada y eso estaba pensado hasta total despacho o sea el día viernes y es eventual porque va a depender de cómo avance la convención cuál sea el grado de avance que haya tenido la semana cuál va a depender también del número de normas e informes que estén presentado a esa fecha para poder ir organizando el trabajo y de ahí este trabajo de votaciones se va desarrollando también en paralelo con el trabajo de el proceso de participación y consulta indígena de durante el mes de febrero durante el mes de marzo para finalizar la semana del 28 de marzo al primero de abril con la presentación de informes deliberación y votación de iniciativas para luego pasar ya en el mes de abril por una parte para el trabajo la votación de normas rezagadas votación de normas que y votación de normas que vayan a ir a la papeleta de el plebiscito seguir y mente que estaba pensado para el día 29 de mayo hay un error ahí dice 28 pero dental y that es el día domingo 29 de mayo en la tercera etapa que se inicia en la semana del 25 al 29 abril se comienza con el trabajo de armonización esa misma semana el pleno es la mesa directiva entrega el proyecto de constitución para comenzar el trabajo de la comisión de armonización se constituye además la comisión la comisión de armonización por lo tanto los patrocinios de quienes la van a integrar los 40 integrantes van a tener que son antes de esta fecha y comienza el trabajo de organización para lo cual se ha considerado cuatro semanas esto es la comisión de armonización trabajaría desde a partir de la semana del 9 al 13 de mayo y también trabajaría en la semana del 30 al 3 de junio que si bien es semana territorial se ha considerado necesario que la comisión de armonización también trabaje esa semana es decir quienes integren esa comisión no obtendrían entre comillas semana territorial por estar dedicado a esto esto también depende del avance con que la esta comisión vaya trabajando y también va a depender de el número de iniciativas que tengan que revisar el número de propuestas que tengan que hacer y también qué tan difícil se vea este trabajo de armonización final del texto de nueva constitución que se tiene que proponer luego de eso ya viene la presentación del informe de la de la comisión de armonización la presentación de indicaciones la elaboración del comparado para pasar a la semana final de votaciones que está considerado para la semana del 20 al 24 de junio y mantenemos el mismo criterio que con que la secretaria técnica ha venido trabajando el cronograma de establecer seis días hábiles extras por cualquier eventualidad de tener que hacer algún tipo de modificaciones con el cronograma y cumplir dentro del plazo que se ha fijado para el trabajo de la convención
"jurgensen, harry", muchas gracias saludo a la señora presidenta y por su intermedio a todos los colegas convencionales para mí el cronograma no es un calendario teórico de probables actividades de trabajo es un plan de acción que se debe cumplir por eso me parece absolutamente inconveniente aprobar un plan de actividades que superan las reales posibilidades las reales capacidades para cumplir las integral adecuada y responsablemente además podemos correr el riesgo de consumir nos anticipadamente los tiempos y no contar con los espacios necesarios para debatir adecuada y democráticamente cada una de las propuestas cada una de las enmiendas e indicaciones referidas a los contenidos de la norma de constitución que es en definitiva nuestro mandato que nos han obligado espero que esta vez la mesa directiva nos garantice el ejercicio del derecho de rebatir las mismas lo que lamentablemente no ocurrió en el proceso de votación de los reglamentos me parece señora presidenta que no se está actuando claramente en favor del cumplimiento de nuestro mandato en el plazo determinado debemos cumplir fielmente por nuestra misión sin estar introduciendo ingredientes que desvíen nuestro camino porque además nos está quitando el foco de nuestro objetivo fundamental doy tremenda importancia a la exposición de los expertos a una ordenada y alta participación ciudadana en este proceso al debate extendido de las propuestas y al proceso de armonización de los contenidos pero todo dentro de la transparencia también debemos tener la capacidad para informar clara y oportunamente a la sociedad civil los criterios de selección que se están aplicando y explicar las razones por las cuales tal vez muchos no puedan ser atendidos en su participación tampoco me parece prudente que el cronograma disponga de una probable extensión de plazo que de acuerdo a la norma vigente deben ser tramitadas en su tiempo por después legislativo porque confunden a la opinión pública mucho menos racional me parece asumir compromiso respecto de un plebiscito intermedio que no tiene sustento constitucional y no depende de la convención no estamos aquí para entorpecer el cumplimiento de nuestro mandato al contrario estamos aquí para cumplirlo para modificar el reglamento si es necesario para representar responsablemente las ideas de nuestros representados el conocimiento y la
"stingo, daniel", quiero decir que voy a votar en general la propuesta de reglamento de ética pero sin perjuicio de eso tengo algunos problemas con el negacionismo sobre todo el inciso 1º en la segunda parte porque creo que es adelantarse a la historia creo firmemente que han existido violaciones de los derechos humanos del 18 octubre a 2019 en adelante no tengo ninguna duda y ha sido declarado muchas veces pero sancionar a aquellos que piensan que no es así creo que es un exceso y ponerlo ahí también creo que este no es un hecho histórico terminado falta el aspecto de la cronología ni siquiera ha terminado al gobierno de piñera no han existido comisiones de verdad como la cuestión radicova leche por ejemplo para decir que si el que niega los hechos de violaciones de derecho humano en el 11 primer 76 el 10 de marzo de 1990 si está haciendo negacionismo pero querer sancionar ahora la verdad es que creo que hay un despropósito falta mucha información que recabar no hay fallos no existe una verdad unívoca de hecho en esta misma convención y personas que dicen que no existe la violación al derecho humano y lo expresan diariamente entonces pretender acusar los de negacionismo lo haríamos todos los días yo creo que estamos jugando con la libertad de expresión y eso me produce un problema ese aspecto y unos pocos más creo que hay que revisarlos yo creo que hay que convencer y no imponer hay un tema con los conflictos de intereses y decirle a catherine manta alegre que no es un anticipo las discusiones de fondo porque lo estamos cuestionando desde ya gracias enseguida en la sala 4 tiene la palabra la convencional maria trinidad o el castillo gracias señor secretario buenas tardes a todos los convencionales constituyentes
"roa, giovanna", muchas gracias buenas tardes a todos todas y todos gracias al trabajo de las comisiones estamos a puertas de escribir la nueva constitución en este proceso una comisión tuvo un rol levemente diferente pero igualmente estructural desde la comisión de derechos humanos verdad histórica base para la justicia reparación y garantía de no repetición escuchamos a personas históricamente negadas por las instituciones y nos invitaron a abrir un proceso que asumimos como un mandato reparatorio para este camino constituyente espero hayan escuchado josé luís vásquez también quien contó su historia lo escucharon los hijos los nietos los bisnietos y los estarán nietos de carmelo que los selman estamos muertos es muy doloroso porque también nuestras familias abandonan esta tierra escuchando que estamos muertos es difícil decir quién soy porque este estado no nos reconoce esta interpelación a un sistema que no quiere ver es la interpelación que hemos hecho desde la calle en la que hoy nos tiene aquí y la que asumimos como un desafío en esta convención estamos haciendo política y la política no se construye desde manuales la política que venimos a reivindicar toma la historia y la reflexión hace de las experiencias y dolores personales al relato colectivo y lo expone para sanar en comunidad y proyectar el futuro desde la memoria con orgullo y humildad puedo decir que desde ese lugar trabajamos con mis compañeros y compañeras de la comisión de derechos humanos y la naturaleza nuestra responsabilidad es que a pesar de no tener una comisión que formalmente se llama directos humanos toda víctima sobreviviente sepa que este es su lugar el de quienes por luchar su vida nunca más volverán a ser las mismas de quienes pusieron sus cuerpos en resistencia a la dictadura y de quienes aún sobreviven en el exterminio de sus pueblos sepan que esta convención es tuya
"serey, mariela", por medio de la educación lograremos legitimar todo el proceso desde ahí la creación del programa de educación constituyente nació para acompañar incentivar y vincular a las personas con la constituyente se presenta como una acción necesaria orientada al desarrollo de la participación de los pueblos de chile en la convención con especial énfasis en la guía territorial y la integración de los grupos históricamente excluidos la educación popular constituyente representa un fin en sí mismo no es sólo para que la gente participe sino para aprovechar este momento histórico y avanzar a la educación cívica es un momento importante para aprender es un momento de aprendizaje social que no se volverá a repetir en el corto plazo este concepto educación popular constituyente nace de la convergencia entre la formación ciudadana y la educación popular entendiendo la importancia de la adquisición de conocimientos para luego tomar una posición consciente en base a la información que pueda recibir dentro y fuera del espacio reglamentado por el estado la vocación popular constituyente se entenderá como un proceso participativo y transformador en miras de promover la educación constituyente muchas gracias tiene la palabra a continuación en el hemiciclo la convencional ingrid villena
"delgado, aurora", gracias e ignacio un saludo a todas a todas ya todos especialmente a nuestra la mientras bien está elisa loncón como también a nuestro es un excedente en masa este amplio acuerdo que la participación popular en este proceso jugarán un rol decisivo en darle un sustento social y político a nuestra nueva carta magna creo fermín fervientemente que este ha sido el espíritu que ha guiado al trabajo de la comisión donde escuchamos no sólo organismos técnicos que por cierto entregaron valiosos insumos para diseñar el proceso de participación sino que muchas organizaciones sociales de los territorios que además nos expresaron sus anhelos de ser protagonistas de este proceso histórico la diversidad del mecanismo propuesto obedece no sólo a permitir la participación en torno a la recepción de insumos sino que a una genuina preocupación por la inclusión incidente vinculante de la diversidad de nuestros pueblos y los grupos históricamente excluidos en las diferentes etapas de la discusión constitucional esta nueva a esta buena fe de la cual puedo dar cuenta más allá de nuestras legítimas diferencias llamo aprobar la propuesta al reglamento de participación ya nutrirla con generosidad desde nuestros diversos saberes para esto creo relevante hacer un llamado a considerar que el éxito del proceso participativo no radica solamente en su apertura masividad de inclusividad sino que también en la capacidad de garantizar un proceso ordenado con trazabilidad y verificación concreta sobre cómo se transportará su traducida la participación en el proceso constituyente todo en diálogo con las condiciones materiales en que éste se desarrollará debemos aprender de cada una de las experiencias presentadas en las audiencias y también de nuestro ejercicio participativo como comisión y entender aún con la mejor de las intenciones este proceso puede flaquear si sus mecanismos no son al mismo tiempo con tiempo con diálogo
"achurra, ignacio", mañana se cumplen 48 años desde el golpe de estado que dio origen a una dictadura cívico-militar que tuvo a nuestro país bajo un régimen de terror en que se violaron de forma dramática y sistemática los derechos humanos en este pleno cinco décadas después y en el mismo edificio en donde se notificaba familiares de las detenciones arbitrarias e ilegales de sus familiares muchos de ellos no volverían nunca más discutimos los alcances que deben tener los derechos humanos en una nueva constitución la misma que dejar atrás la constitución del dictador que nos legó un país lleno de trampas e inequidades los derechos humanos no son un problema del pasado son la base para fundar una sociedad que reconozca todo como igual es parte de los horrores estructurales sobre lo que se fundó el estado nación chilena fue el genocidio de pocos los pueblos indígenas que habitaban este territorio cientos y miles de años antes por eso no puedo dejar de referirme con respeto y sin ánimo de acusación personal a que la convencional poliana ribera diga en este pleno que se está tratando de inventar naciones convencional no habitó día a día en los pasillos a nuestros hermanas y hermanos de las diferentes naciones que usted dice no existen de esto se trata la plurinacionalidad con rango constitucional pueda negarle a otro la pertenencia e identificación con su nación estos son entre otros los derechos humanos hoy tenemos la posibilidad de comenzar a dibujar un país donde los derechos humanos sean un sentido común una cultura y para eso debemos comenzar
"achurra, ignacio", el secretario es para hacer mi palabra aurora delgado que está en el zoom
